"","districts_included","cluster","map","value"
"291",19,"Brunswick-New Hanover","R_voteshare_basemap",0.599
"292",20,"Brunswick-New Hanover","R_voteshare_basemap",0.579
"293",25,"Franklin-Nash","R_voteshare_basemap",0.462
"294",42,"Cumberland","R_voteshare_basemap",0.357
"295",43,"Cumberland","R_voteshare_basemap",0.286
"296",44,"Cumberland","R_voteshare_basemap",0.51
"297",45,"Cumberland","R_voteshare_basemap",0.509
"298",46,"Columbus-Pender-Robeson","R_voteshare_basemap",0.542
"299",47,"Columbus-Pender-Robeson","R_voteshare_basemap",0.516
"300",55,"Anson-Union","R_voteshare_basemap",0.558
"301",58,"Guildford","R_voteshare_basemap",0.275
"302",59,"Guildford","R_voteshare_basemap",0.538
"303",60,"Guildford","R_voteshare_basemap",0.377
"304",63,"Alamance","R_voteshare_basemap",0.511
"305",64,"Alamance","R_voteshare_basemap",0.597
"306",67,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","R_voteshare_basemap",0.757
"307",68,"Anson-Union","R_voteshare_basemap",0.645
"308",69,"Anson-Union","R_voteshare_basemap",0.645
"309",71,"Forsyth-Yadkin","R_voteshare_basemap",0.547
"310",72,"Forsyth-Yadkin","R_voteshare_basemap",0.304
"311",73,"Forsyth-Yadkin","R_voteshare_basemap",0.643
"312",74,"Forsyth-Yadkin","R_voteshare_basemap",0.592
"313",75,"Forsyth-Yadkin","R_voteshare_basemap",0.315
"314",76,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","R_voteshare_basemap",0.585
"315",77,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","R_voteshare_basemap",0.74
"316",82,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","R_voteshare_basemap",0.557
"317",83,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","R_voteshare_basemap",0.582
"318",88,"Mecklenburg","R_voteshare_basemap",0.358
"319",92,"Mecklenburg","R_voteshare_basemap",0.296
"320",98,"Mecklenburg","R_voteshare_basemap",0.542
"321",99,"Mecklenburg","R_voteshare_basemap",0.41
"322",100,"Mecklenburg","R_voteshare_basemap",0.278
